title,addr_zip,size_sqft,bedrooms,bathrooms,prewar,price
333 Rector Place #301,10280,711,1.0,1.0,0,325000
333 Rector Place #303,10280,735,1.0,1.0,0,340000
333 Rector Place #311,10280,811,1.0,1.0,0,390000
333 Rector Place #302,10280,551,0.0,1.0,0,265000
333 Rector Place #403,10280,777,0.0,1.0,0,375000
2 South End Avenue #TH4,10280,1429,2.0,2.0,0,695000
2 South End Avenue #TH4,10280,1429,2.0,2.0,0,695000
333 Rector Place #313,10280,725,1.0,1.0,0,355000
2 South End Avenue #TH1,10280,1265,2.0,2.0,0,670000
333 Rector Place #401,10280,711,1.0,1.0,0,350000
333 Rector Place #503,10280,777,1.0,1.0,0,395000
333 Rector Place #413,10280,725,1.0,1.0,0,370000
333 Rector Place #511,10280,860,1.0,1.0,0,440000
333 Rector Place #501,10280,711,1.0,1.0,0,365000
333 Rector Place #312,10280,812,1.0,1.0,0,420000
2 South End Avenue #9L,10280,1311,2.0,2.0,0,680000
250 South End Avenue #6D,10280,782,1.0,1.0,0,415000
333 Rector Place #513,10280,725,1.0,1.0,0,380000
333 Rector Place #502,10280,551,0.0,1.0,0,290000
350 Albany Street #3R,10280,818,1.0,1.0,0,435000
333 Rector Place #611,10280,860,1.0,1.0,0,460000
300 Albany Street #6D,10280,779,1.0,1.0,0,419000
333 Rector Place #613,10280,725,1.0,1.0,0,390000
333 Rector Place #412,10280,812,1.0,1.0,0,440000
280 Rector #1G,10280,681,1.0,1.0,0,339000
280 Rector #1J,10280,625,1.0,1.0,0,339000
333 Rector Place #602,10280,551,0.0,1.0,0,300000
2 South End Avenue #3U,10280,691,1.0,1.0,0,379000
2 South End Avenue #6V,10280,691,1.0,1.0,0,380000
300 Albany Street #8J,10280,667,1.0,1.0,0,375000
280 Rector Place #1I,10280,625,1.0,1.0,0,349000
333 Rector Place #703,10280,777,1.0,1.0,0,435000
2 South End Avenue #3B,10280,768,1.0,1.0,0,430000
333 Rector Place #512,10280,812,1.0,1.0,0,455000
300 Rector Place #2Q,10280,668,1.0,1.0,0,375000
333 Rector Place #701,10280,711,1.0,1.0,0,400000
333 Rector Place #404,10280,2662,4.0,3.0,0,1500000
350 Albany Street #3L,10280,650,1.0,1.0,0,369000
2 South End Avenue #8E,10280,623,1.0,1.0,0,360000
300 Rector Place #1F,10280,625,1.0,1.0,0,359000
280 Rector Place #8I,10280,625,1.0,1.0,0,375000
300 Albany Street #3J,10280,667,1.0,1.0,0,385000
333 Rector Place #310,10280,1296,2.0,2.0,0,750000
333 Rector Place #410,10280,1339,2.0,2.0,0,775000
333 Rector Place #612,10280,812,1.0,1.0,0,470000
2 South End Avenue #2C,10280,647,1.0,1.0,0,375000
300 Albany Street #6H,10280,653,1.0,1.0,0,379000
