title,addr_zip,size_sqft,bedrooms,bathrooms,prewar,price
130 West 30th Street GROUND-FL,10001,18987,0.0,6.0,1,7940000
130 West 30th Street #STORE1/2,10001,18987,0.0,4.0,1,7940000
311 10th Avenue #BUILDING,10001,4000,,0.0,1,7995000
559 West 22nd Street ,10011,7408,24.0,0.0,1,6350000
115 West 29th Street #10FL,10001,6000,3.0,2.0,1,2895000
145 West 27th Street #6E,10001,1685,1.0,1.0,1,899000
148 West 23rd Street #1J,10011,1839,3.0,2.0,1,999000
250 West 27th Street #1B,10001,1700,3.0,2.0,1,925000
135 West 27th Street #10FL,10001,4000,2.0,0.0,1,2200000
109 West 26th Street #2AB3A,10001,6000,3.0,2.0,1,3300000
233 West 26th Street #1FW,10001,1347,1.0,2.0,1,749000
237 West 26th Street ,10001,3806,0.0,0.0,1,2150000
148 West 23rd Street #2F,10011,1000,1.0,1.0,1,569000
237 West 14th Street ,10011,9950,,,1,5700000
151 West 28th Street #3E,10001,1847,1.0,2.0,1,1099000
313-315 West 21st Street ,10011,20496,,0.0,1,12500000
251 West 19th Street #1D,10011,1630,0.0,1.0,1,995000
154 West 18th Street #2B,10011,2200,4.0,2.0,1,1350000
407 West 21st Street ,10011,4283,,0.0,1,3950000
215 West 29th Street #6,10001,1850,3.0,2.0,1,1150000
144 West 27th Street #5THR,10001,3600,3.0,2.0,1,2250000
131 West 28th Street #2D,10001,1300,1.0,2.0,1,825000
148 West 23rd Street #4C,10011,700,0.0,1.0,1,449000
120 Eleventh Avenue #2B,10011,4017,3.0,3.0,1,2600000
338 West 22nd Street ,10011,5000,,0.0,1,3300000
410 W 23 #6H,10011,450,0.0,1.0,1,299000
129 West 22nd Street #5A,10011,2400,3.0,2.0,1,1625000
214 West 17th Street #1A,10011,2790,2.0,3.0,1,1895000
452 West 19th Street #1A,10011,1320,1.0,1.0,1,899000
341 West 29th Street ,10001,2937,5.0,3.0,1,2000000
148 West 23rd Street #11F,10011,1100,2.0,1.0,1,755000
250 West 27th Street #5K,10001,650,0.0,1.0,1,449000
148 West 16th Street #7,10011,650,1.0,1.0,1,450000
133 W.24th #2,10011,2300,3.0,2.0,1,1595000
133 West 24th Street #3,10011,2300,2.0,2.0,1,1595000
