title,addr_zip,size_sqft,bedrooms,bathrooms,prewar,price
735 East 9th Street #2R,10009,1400,3.0,2.0,1,700000
636 East 14th Street #17,10009,600,1.0,1.0,1,300000
326 East 4th Street ,10009,7661,12.0,6.0,1,3950000
745 East 6th Street #3D,10009,703,2.0,1.0,1,365000
430 East 10th Street #4FL,10009,3500,3.0,2.0,1,1825000
283 E 4th #1B,10009,475,1.0,1.0,1,255000
610 E 5th Street #2-1,10009,490,1.0,1.0,1,265000
283 E 4th #1BB,10009,480,1.0,1.0,1,260000
290 East 2nd Street #GB,10009,900,2.0,1.0,1,499000
610 E 5th Street #2A,10009,450,1.0,1.0,1,250000
224 E 11th #11,10003,725,1.0,1.0,1,420000
59 Fourth Avenue #1F,10003,2300,2.0,2.0,1,1350000
254 East 7th Street #9-10,10009,1000,3.0,2.0,1,595000
628 East 14th Street #2,10009,475,1.0,1.0,1,285000
628 East 14th Street #2,10009,475,1.0,1.0,1,285000
432-434 East 10th Street #2,10009,1550,2.0,1.0,1,950000
610 E 5th #1,10009,350,0.0,0.0,1,215000
283 East 4th Street #5A,10009,444,1.0,1.0,1,275000
242 East 7th Street #2,10009,1600,2.0,2.0,1,995000
234 East 14th Street #1C,10003,400,,1.0,1,249000
534 East 11th Street #27/28,10009,900,1.0,1.0,1,575000
630 East 14th Street #1920,10009,1000,2.0,1.0,1,639000
228 East 13th Street #17,10003,460,1.0,1.0,1,295000
432-434 East 10th Street #4,10009,1550,1.0,1.0,1,995000
544 East 11th Street #4B,10009,850,2.0,1.0,1,550000
265 East 7th Street #3,10009,1200,2.0,1.0,1,779000
414 East 10th Street #4CD,10009,750,1.0,2.0,1,490000
265 East 7th Street #4,10009,1250,2.0,1.0,1,819000
534 E 14th Street MULTI,10009,10955,,1.0,1,7195850
327 East 3rd Street #4C,10009,600,2.0,1.0,1,395000
75 Saint Marks Place ,10003,4992,8.0,4.0,1,4200000
64 East 3rd Street #1A,10003,950,1.0,1.0,1,650000
210 East 11th Street ,10003,5400,,,1,3700000
625 East 6th Street #1B,10009,575,0.0,1.0,1,395000
650 East 6th Street ,10009,4000,,0.0,1,2750000
252 East 7th Street #15-16,10009,800,2.0,1.0,1,550000
88 East 3rd Street #8,10003,450,0.0,1.0,1,310000
407 East 6th Street ,10009,4060,7.0,5.0,1,3500000
327 East 3rd Street #5A,10009,650,2.0,1.0,1,450000
323 East 8th Street #GRDN,10009,600,1.0,1.0,1,419000
323 East 8th Street #6D,10009,500,1.0,1.0,1,350000
165 Avenue B ,10009,5608,11.0,6.0,1,3995000
206 East 7th Street #19-20,10009,820,2.0,1.0,1,575000
83 East 2nd Street #HOUSE,10003,7018,10.0,5.0,1,4995000
311 East 10th Street #5A,10009,700,1.0,1.0,1,499000
219 East 7th Street #3,10009,600,2.0,1.0,1,429000
219 East Seventh Street #3,10009,600,2.0,1.0,1,429000
99 Avenue B #3C,10009,300,0.0,1.0,1,214900
248 East 7th Street #17-18,10009,800,2.0,1.0,1,575000
252 East 7th Street #5-6,10009,1600,2.0,2.0,1,1150000
267 East 7th Street ,10009,1200,2.0,1.0,1,865000
226-230 East 12th Street #2H,10003,550,1.0,1.0,1,399000
199 East 7th Street #3D,10009,650,1.0,1.0,1,475000
120 Second Avenue #3B,10003,650,1.0,1.0,1,475000
262 East 7th Street #4,10009,615,0.0,1.0,1,450000
307 East 8th Street #3B,10009,750,2.0,1.0,1,549000
546 East 11th Street #2B,10009,750,2.0,1.0,1,550000
412-14 East 10th Street #3C,10009,320,0.0,1.0,1,235000
321 East 12th Street #32,10003,850,2.0,1.0,1,625000
242 East 7th Street #2,10009,1350,2.0,2.0,1,996000
323 East 8th Street #1B,10009,800,1.0,1.0,1,595000
323 East 8th Street #1A,10009,800,1.0,2.0,1,595000
307 East 8th Street #4B,10009,750,2.0,1.0,1,559000
546 East 11th Street #2B,10009,750,2.0,1.0,1,559000
226 East 12th Street #5D,10003,395,0.0,1.0,1,295000
141 East 3rd Street #9D,10009,1200,2.0,1.0,1,899000
430 E 10th Street #2B,10009,2500,3.0,2.0,1,1875000
205 East 10th Street #1A,10003,800,1.0,1.0,1,600000
254 East 7th Street #18,10009,500,2.0,1.0,1,379000
126 East 12th Street #6A,10003,725,2.0,1.0,1,550000
49 East 7th Street ,10003,6826,8.0,9.0,1,5200000
311 East 3rd Street #22,10009,550,1.0,1.0,1,419000
205 East 10th Street #3D,10003,700,1.0,1.0,1,535000
252 East 7th Street #13-14,10009,850,1.0,1.0,1,650000
307 East 8th Street #1C,10009,735,2.0,1.0,1,565000
172 E 4th Street #5B,10009,750,1.0,1.0,1,580000
172 E 4th Street #5B,10009,750,1.0,1.0,1,580000
311 East 3rd Street #25,10009,500,2.0,1.0,1,389000
226 East 12th Street #2J,10003,500,1.0,1.0,1,389000
323 E 8th Street #1B,10009,800,1.0,1.0,1,625000
99 East 4th Street #1H,10003,700,1.0,1.0,1,549000
276 East 10th Street #A,10009,9224,12.0,12.0,1,7250000
59 Fourth Avenue #2A,10003,1900,2.0,2.0,1,1495000
241 E 7th Street #2B,10009,400,0.5,1.0,1,315000
241 E 7th Street #2B,10009,400,0.5,1.0,1,315000
226 East 2nd Street #1E,10009,950,1.0,1.0,1,749000
636 East 14th Street #10,10009,570,1.0,1.0,1,450000
226-230 East 12th Street #1E,10003,500,1.0,1.0,1,395000
143 Avenue B ,10009,424,0.0,1.0,1,335000
311 East 3rd Street #16,10009,550,2.0,1.0,1,435000
248 East 7th Street #78,10009,750,2.0,1.0,1,595000
226 East 2nd Street #5C,10009,500,0.0,1.0,1,399000
226 East 12th Street ,10003,500,1.0,1.0,1,399000
524 East 6th Street #8,10009,600,1.0,1.0,1,479000
524 East 6th Street #6,10009,600,1.0,1.0,1,479000
226 East 12th Street #1B,10003,625,1.0,1.0,1,499000
170 Second Avenue #5E,10003,800,1.0,1.0,1,639000
257 East 7th Street #10,10009,1000,0.0,1.0,1,800000
313 East 10th Street #4,10009,1500,2.0,1.0,1,1200000
507 East 12th Street #3A,10009,550,1.0,1.0,1,440000
315 East 12th Street #15,10003,750,2.0,1.0,1,600000
87 East 2nd Street #1B,10003,1150,2.0,1.0,1,925000
115 Fourth Avenue #5E,10003,1000,1.0,2.0,1,995000
99 Avenue B #3E,10009,1050,2.0,2.0,1,850000
400 East 14th Street ,10009,757,2.0,1.0,1,650000
607 E 11th Street MULTI,10009,10000,,1.0,1,8150000
607 E 11th Street MULTI,10009,10000,,1.0,1,8150000
607 E 11th Street MULTI,10009,10000,,1.0,1,8150000
607 E 11th Street MULTI,10009,10000,,1.0,1,8150000
607 E 11th Street MULTI,10009,10000,,1.0,1,8150000
607 E 11th Street MULTI,10009,10000,,1.0,1,8150000
613 East 6th Street ,10009,975,2.0,1.0,1,795000
228 East 13th Street #26,10003,650,1.0,1.0,1,530000
507 East 12th Street #4B,10009,550,1.0,1.0,1,449000
311 East 3rd Street #22,10009,550,1.0,1.0,1,449000
625 East 6th Street #3,10009,600,0.0,1.0,1,490000
311 East 3rd Street #21,10009,550,2.0,1.0,1,450000
205 East 10th Street #5E,10003,550,1.0,1.0,1,450000
240 East Houston #4E,10009,1000,1.0,2.0,1,849000
226 East 12th Street #4J,10003,500,1.0,1.0,1,410000
226 East 2nd Street #1D,10009,850,1.0,1.0,1,699000
227 East 12th Street #2C,10003,725,1.0,1.0,1,599000
254 East 7th Street #21,10009,450,1.0,1.0,1,372000
334 E 5th Street #8,10003,525,1.0,1.0,1,435000
149 Avenue C #5F/6F,10009,1200,2.0,1.0,1,995000
242 East 7th Street #3,10009,1200,1.0,2.0,1,995000
51 Saint Marks Place #11,10003,825,1.0,1.0,1,685000
334 East 5th Street #3,10003,600,1.0,1.0,1,499000
175 East 2nd Street #1B,10009,720,1.0,1.0,1,599000
225 East 4th Street #34,10009,900,2.0,1.0,1,749000
226 East 12th Street #2E,10003,450,1.0,1.0,1,375000
226 East 12th Street #1F,10003,450,1.0,1.0,1,375000
504 East 6th Street #4,10009,750,2.0,1.0,1,625000
518 East 11th Street #2B,10009,700,2.0,1.0,1,585000
205 East 10th Street #6C,10003,650,1.0,1.0,1,545000
149 Avenue C #4R,10009,440,1.0,1.0,1,369000
87 E 2nd Street #4E,10003,1000,2.0,1.0,1,840000
322 East 14th Street #4F,10003,475,1.0,1.0,1,399000
111 Third Avenue #2A,10003,510,0.0,1.0,1,429000
224 East 11th Street #10,10003,650,2.0,1.0,1,550000
111 East 10th Street #21,10003,1000,2.0,1.0,1,849000
87 East 2nd Street #5A,10003,1000,2.0,1.0,1,849000
99 Avenue B #1C,10009,265,0.0,1.0,1,225000
311 East 3rd Street #33,10009,500,1.0,1.0,1,425000
185 East 2nd Street #2D,10009,500,1.0,1.0,1,425000
232 East 6th Street #2A,10003,700,1.0,1.0,1,595000
111 Fourth Avenue #12B,10003,700,1.0,1.0,1,595000
228 East 13th Street #22,10003,500,1.0,1.0,1,425000
115 Fourth Avenue #3B,10003,1000,1.0,2.0,1,999999
232 East 6th Street #5C,10003,350,0.0,1.0,1,299000
232 East 6th Street #5C,10003,350,0.0,1.0,1,299000
334 E 5th Street #8,10003,525,1.0,1.0,1,449000
224 East 11th Street #20,10003,700,1.0,1.0,1,599000
103 East 10th Street #3C,10003,700,1.0,1.0,1,599000
111 Third Avenue #7G,10003,700,1.0,1.0,1,599000
544 East 11th Street #3A,10009,700,1.0,1.0,1,599000
111 Third Avenue #11G,10003,700,1.0,1.0,1,599000
99 East 4th Street #6L,10003,700,1.0,1.0,1,599000
81 East 2nd Street #1,10003,2953,3.0,2.0,1,2995000
87 East 2nd Street #5D,10003,700,1.0,1.0,1,599000
224 East 11th Street #2,10003,600,2.0,1.0,1,515000
255 East 7th Street #3,10009,740,1.0,1.0,1,636636
170 Second Avenue #4E,10003,800,1.0,1.0,1,689000
636 East 14th Street #13/14,10009,1100,2.0,2.0,1,950000
103 East 10th Street #2A,10003,480,0.0,1.0,1,415000
735 East 9th Street #3R,10009,785,1.0,1.0,1,679000
311 East 10th Street #2A,10009,780,1.0,1.0,1,675000
311 East 3rd Street #11,10009,300,1.0,1.0,1,260000
323 East 8th Street #6B,10009,450,1.0,1.0,1,390000
