title,addr_zip,size_sqft,bedrooms,bathrooms,prewar,price
3 Hanover Square #21D,10004,1400,1.0,1.0,1,599000
7 Dutch Street #1,10038,3428,2.0,3.0,1,1539000
3 Hanover Square #9B,10004,562,0.0,1.0,1,275000
176 Broadway #4D,10038,1800,3.0,1.0,1,899900
272 Water Street #1R,10038,1842,,1.0,1,939500
176 Broadway #8F,10038,1827,2.0,2.0,1,950000
3 Hanover Square #3A,10004,860,0.0,1.0,1,449000
3 Hanover Square #6H,10004,950,1.0,1.0,1,499000
3 Hanover Square #5K,10004,550,0.0,1.0,1,299000
3 Hanover Square #20FG,10004,2000,3.0,2.0,1,1129000
176 Broadway #PHE,10038,1650,2.0,2.0,1,945000
3 Hanover Square #2G,10004,900,1.0,1.0,1,525000
3 Hanover Sq #3F,10004,900,1.0,1.0,1,525000
3 Hanover Square #8E,10004,850,1.0,1.0,1,499000
3 Hanover Square #11H,10004,550,0.0,1.0,1,325000
145 Nassau Street #10C,10038,1860,3.0,2.0,1,1100000
3 Hanover Square #5H,10004,950,1.0,1.0,1,565000
15 Broad Street ,10005,916,,1.0,1,545000
3 Hanover Square #7K,10004,500,0.0,1.0,1,299000
176 Broadway #10D,10038,1400,2.0,1.0,1,839000
3 Hanover Sq #11B,10004,550,0.0,1.0,1,330000
3 Hanover Square #14J,10004,550,0.0,1.0,1,335000
20 West Street #9C,10004,1616,4.0,2.0,1,995000
3 Hanover Square #4E,10004,800,1.0,1.0,1,499000
324 Pearl Street, #1A ,10038,902,,1.0,1,549000
176 Broadway #11F,10038,1200,1.0,1.0,1,750000
55 Liberty Street #6A,10005,1375,2.0,2.0,1,865000
3 Hanover Sq #9M,10004,500,0.0,1.0,1,315000
3 Hanover Square #9H,10004,950,1.0,1.0,1,599000
15 Broad Street #1830,10005,1418,0.0,1.0,1,900000
3 Hanover Square #8F,10004,550,0.0,1.0,1,350000
15 Broad Street #830,10005,1454,2.0,2.0,1,949000
176 Broadway #9F,10038,1400,2.0,2.0,1,899000
20 West Street #17H,10004,777,1.0,1.0,1,499000
3 Hanover Square #7AB,10004,1200,1.0,2.0,1,775000
26 Beaver Street ,10004,1235,2.0,1.0,1,799000
275 Water Street #23FLR,10038,3000,5.0,3.0,1,1950000
65 Nassau Street #7A,10038,600,1.0,1.0,1,390000
275 Water Street #3RDFLOOR,10038,3000,4.0,3.0,1,1950000
3 Hanover Square #8B,10004,521,0.0,1.0,1,339000
176 Broadway #12C,10038,1600,2.0,2.0,1,1045000
3 Hanover Square #PH23E,10004,950,1.0,1.0,1,625000
3 Hanover Square #14C,10004,1250,2.0,2.0,1,825000
65 Nassau Street #9A,10038,600,1.0,1.0,1,399000
3 Hanover Square #4J,10004,900,1.0,1.0,1,599000
3 Hanover Square #18A,10004,1100,1.0,1.0,1,735000
3 Hanover Sq #19E,10004,625,0.0,1.0,1,419000
80 John Street #4D,10038,799,0.0,1.0,1,539000
3 Hanover Square #23C,10004,1477,1.0,1.0,1,999900
26 Beaver Street #17FL,10004,2200,2.0,2.0,1,1495000
3 Hanover Square #17A,10004,1100,2.0,1.0,1,749000
3 Hanover Square #11B,10004,550,0.0,1.0,1,375000
3 Hanover Square #4C,10004,550,0.0,1.0,1,375000
3 Hanover Square #4F,10004,585,0.0,1.0,1,399000
176 Broadway #8D,10038,1906,3.0,1.0,1,1300000
20 West Street #11L,10004,1832,0.0,1.0,1,1250000
3 Hanover Sq #6B,10004,510,0.0,1.0,1,349000
176 Broadway #5A,10038,1600,2.0,2.0,1,1097000
15 Broad Street #1030,10005,1450,2.0,2.0,1,995000
324 Pearl Street #1A,10038,902,1.0,1.0,1,619000
3 Hanover Square #12F,10004,1300,2.0,2.0,1,895000
3 Hanover Square #8B,10004,550,0.0,0.0,1,379000
3 Hanover Square #9L,10004,550,0.0,1.0,1,380000
3 Hanover Square #8M,10004,550,0.0,1.0,1,380000
56 Pine Street #4E,10005,775,0.0,1.0,1,540000
15 Broad Street #1930,10005,1418,2.0,1.0,1,989000
50 Pine Street #3N,10005,1518,3.0,2.0,1,1199000
3 Hanover Square #21A,10004,800,1.0,1.0,1,559000
55 Liberty Street #15B,10005,4489,4.0,5.0,1,3145000
15 Broad Street #1930,10005,1418,0.0,1.0,1,995000
56 Pine Street #4A,10005,837,1.0,1.0,1,595000
80 John Street #15E,10038,989,2.0,2.0,1,699000
56 Pine Street #9G,10005,775,1.0,1.0,1,548000
3 Hanover Square ,10004,585,0.0,1.0,1,415000
80 John Street #11I,10038,1153,2.0,2.0,1,820000
3 Hanover Sq #17E,10004,590,0.0,1.0,1,420000
3 Hanover Square #20E,10004,625,0.0,1.0,1,445000
80 John Street #8D,10038,799,1.0,1.0,1,569000
20 Pine Street #917,10005,870,0.0,1.0,1,620000
80 John Street #4I,10038,1150,1.0,2.0,1,820000
15 Broad Street #1130,10005,1387,0.0,1.0,1,995000
3 Hanover Square #5A,10004,550,,1.0,1,395000
3 Hanover Sq #19E,10004,625,0.0,1.0,1,449000
55 Liberty #21A,10005,1250,3.0,2.0,1,899000
26 Beaver Street ,10004,1035,2.0,1.0,1,749000
55 Liberty Street #24D,10005,725,1.0,1.0,1,525000
26 Beaver Street #18FL,10004,2200,2.0,1.0,1,1595000
3 Hanover Sq #10B,10004,550,0.0,1.0,1,399000
3 Hanover Square #7F,10004,550,0.0,1.0,1,399000
