title,addr_zip,size_sqft,bedrooms,bathrooms,prewar,price
8 West 19th Street #3RD,10011,4100,0.0,2.0,1,2200000
66 Madison Avenue #11A,10016,780,1.0,1.0,1,425000
66 Madison Avenue #3E,10016,700,1.0,1.0,1,395000
66 Madison Avenue #4E,10016,700,1.0,1.0,1,399000
8 West 19th Street #4,10011,4100,0.0,1.0,1,2350000
66 Madison Avenue #8A,10016,690,1.0,1.0,1,399000
8 West 19th Street #2ND,10011,4100,0.0,2.0,1,2400000
66 Madison Avenue #6G,10016,425,1.0,1.0,1,250000
66 Madison Avenue #10B,10016,550,1.0,1.0,1,325000
66 Madison Avenue #12L,10016,600,1.0,1.0,1,355000
60 W 15th Street 4TH-FLOOR,10011,3133,3.0,2.0,1,1950000
40 West 24th Street ,10010,1500,2.0,1.0,1,935000
17 West 17th Street #4THFL,10011,4600,0.0,2.0,1,2875000
41 East 28th Street #2B,10016,1100,1.0,1.0,1,695000
41 East 28th Street #3C,10016,830,1.0,1.0,1,525000
117 East 24th Street #8FL,10010,4400,4.0,3.0,1,2790000
41 East 28th Street #2C,10016,770,0.0,1.0,1,500000
7 East 20th Street #2FL,10003,4600,0.0,2.0,1,2995000
1200 Broadway #6D,10001,2067,2.0,2.0,1,1350000
66 Madison Avenue #7D,10016,700,1.0,1.0,1,459000
38 West 26th Street #7A,10010,1760,1.0,2.0,1,1195000
40 West 24th Street #4E,10010,2050,2.0,2.0,1,1395000
7 East 17th Street #4FL,10003,2905,3.0,2.0,1,1995000
40 West 24th Street #3E,10010,1600,1.0,2.0,1,1100000
66 Madison Avenue #4D,10016,650,1.0,1.0,1,450000
1200 Broadway #6F,10001,2300,2.0,2.0,1,1595000
105 East 29th Street ,10016,3300,3.0,2.0,1,2300000
425 Park Avenue South #3D,10016,1000,1.0,1.0,1,699000
66 Madison Avenue #12B,10016,475,0.0,1.0,1,334000
874 Broadway #301,10003,1670,1.0,1.0,1,1175000
66 Madison Avenue #8K,10016,750,1.0,1.0,1,532500
333 Park Avenue South #5C,10010,1300,2.0,1.0,1,925000
66 Madison Avenue #10H,10016,700,1.0,1.0,1,499000
105 Fifth Avenue #5C,10003,1500,1.0,1.0,1,1075000
41 East 28th Street #5C,10016,830,1.0,1.0,1,595000
64 West 15th Street #1E,10011,1650,1.0,1.0,1,1185000
