title,addr_zip,size_sqft,bedrooms,bathrooms,prewar,price
620 Broadway #2R,10012,3146,2.0,3.0,1,1750000
714 Broadway #2FLR,10003,3350,3.0,3.0,1,1995000
77 Bleecker Street #1215,10012,550,0.0,1.0,1,349000
23 Waverly Place #4L,10003,550,0.0,1.0,1,349000
718 Broadway #2A,10003,1405,1.0,1.0,1,899000
303 Mercer Street #B103,10003,2500,3.0,3.0,1,1600000
55 East 11th Street #1,10003,3036,1.0,1.0,1,2000000
77 Bleecker Street #602,10012,900,1.0,1.0,1,600000
17 West 8th Street #HOUSE,10011,10200,,0.0,1,6900000
77 Bleecker Street #105,10003,1250,2.0,1.0,1,849000
77 Bleecker Street #618,10012,716,0.0,1.0,1,499000
43 East 10th Street #2K,10003,600,1.0,1.0,1,420000
5 East 13th Street #1,10003,2131,2.0,1.0,1,1495000
23 East 10th Street #1H,10003,725,1.0,1.0,1,510000
77 Bleecker Street #603,10012,850,1.0,1.0,1,599000
10 Bleecker Street ,10012,1800,1.0,2.0,1,1280000
49 East 12th Street #1D,10003,1300,2.0,2.0,1,925000
50 West 9th Street #1E,10011,1250,2.0,1.0,1,895000
12 East 14th Street #2C,10003,1500,1.0,1.0,1,1075000
39 East 12th Street #709,10003,800,1.0,1.0,1,575000
21 Bond Street #3,10012,2400,3.0,2.0,1,1750000
23 East 10th Street #407,10003,750,1.0,1.0,1,550000
23 East 10th Street #1C,10003,1019,1.0,2.0,1,750000
43 East 10th Street #6A,10003,500,0.0,1.0,1,369000
620 Broadway ,10012,2700,2.0,2.0,1,1995000
24 Fifth Avenue #1119,10003,405,0.0,1.0,1,299999
67 East 11th Street ,10003,660,,1.0,1,489000
109 Waverly Place ,10011,5896,,,1,5300000
714 Broadway #2NDFL,10003,3350,3.0,3.0,1,2500000
Flooded With Charm!! ,10012,600,1.0,1.0,1,449000
23 East 10th Street #705,10003,900,2.0,1.0,1,675000
77 Bleecker Street #1105,10012,2450,1.0,2.0,1,1850000
23 Waverly Place #6N,10003,528,0.0,1.0,1,399000
77 Bleecker Street #102,10012,1850,2.0,2.0,1,1399000
14 East 4th Street #509,10012,3576,0.0,2.0,1,2700000
77 Bleecker Street #619,10012,725,0.0,1.0,1,549000
23 East 10th Street #4G,10003,750,1.0,1.0,1,569000
77 Bleecker Street #206,10012,525,0.0,1.0,1,399000
520 Laguardia Place #1S,10012,1440,3.0,2.0,1,1095000
67 East 11th Street #512,10003,735,1.0,1.0,1,559000
77 Bleecker Street #504,10012,950,1.0,1.0,1,725000
211 Thompson Street #F,10012,425,0.0,1.0,1,325000
42 West 13th Street #1GH,10011,850,2.0,2.0,1,650000
211 Thompson Street #GLL,10012,600,1.0,1.0,1,459000
23 East 10th Street #111,10003,1685,3.0,2.0,1,1295000
77 Bleecker #109,10012,1000,1.0,2.0,1,769000
67 East 11th Street #623,10003,700,1.0,1.0,1,539000
67 East 11th Street #224,10003,475,0.0,1.0,1,365750
77 Bleecker Street #632N,10012,675,0.0,1.0,1,520000
714 Broadway ,10003,3050,3.0,1.0,1,2350000
722 Broadway #3,10003,2200,2.0,2.0,1,1699995
722 Broadway #4,10003,2200,2.0,2.0,1,1700000
45 5th Avenue #3D,10003,575,1.0,1.0,1,445500
77 Bleecker Street #328,10012,800,1.0,1.0,1,620000
303 Mercer Street #B301,10003,900,1.0,1.0,1,699000
5 Great Jones Street #1R,10012,900,0.0,1.0,1,699000
48 Great Jones Street #4F,10012,2500,2.0,2.0,1,1950000
25 East 4th Street #2FL,10003,2000,,1.0,1,1565000
43 West 13th Street #2,10011,5000,2.0,3.0,1,3950000
77 Bleecker Street #815,10012,600,1.0,1.0,1,475000
48 Great Jones Street #2NDFLOOR,10012,4400,4.0,3.0,1,3495000
722 Broadway #5,10003,2200,3.0,2.0,1,1749000
722 Broadway #7,10003,2200,0.0,2.0,1,1750000
24 Fifth Avenue #919,10003,450,0.0,1.0,1,359000
175 Bleecker Street #9,10012,475,1.0,1.0,1,379000
67 East 11th Street #604,10003,500,0.0,1.0,1,399000
42 West 13th Street #2A,10011,500,1.0,1.0,1,399000
3 East 10th Street TOWNHOUSE-AU,10003,8300,12.0,0.0,1,6634000
77 Bleecker Street #1112,10012,750,1.0,1.0,1,599000
67 East 11th Street #502,10003,1000,1.0,1.0,1,799000
5 Great Jones Street #2,10012,2300,3.0,2.0,1,1850000
5 Great Jones Street #2,10012,2300,3.0,2.0,1,1850000
12 East 12th Street #2S,10003,2732,0.0,0.0,1,2200000
23 Waverly Place #6F,10003,600,0.0,1.0,1,485000
39 East 12th Street #311,10003,1050,2.0,1.0,1,850000
39 East 12th Street #307,10003,1050,1.0,1.0,1,850000
12 East 14th Street #4F,10003,900,1.0,1.0,1,729000
175 Bleecker Street,10012,500,0.0,1.0,1,405000
23 East 10th Street #105,10003,800,1.0,1.0,1,649000
211 Thompson Street #6M,10012,800,1.0,1.0,1,649000
77 Bleecker Street #915,10012,675,1.0,1.0,1,550000
520 Laguardia Place #1N,10012,1500,2.0,2.0,1,1225000
23 East 10th Street #110,10003,1100,1.0,1.0,1,899000
23 Waverly Place #3G,10003,550,0.0,1.0,1,450000
77 Bleecker Street #302,10012,1215,1.0,2.0,1,995000
77 Bleecker Street #528E,10012,896,1.0,1.0,1,735000
74 Fifth Avenue #6C,10011,1700,1.0,2.0,1,1395000
160 Bleecker Street #7KE,10012,425,0.0,1.0,1,349000
24 5th Avenue #527,10003,425,0.0,1.0,1,349000
8 West 13th Street ,10011,1211,1.0,1.0,1,995000
77 Bleecker Street ,10012,1000,1.0,2.0,1,825000
23 East 10th Street #5B,10003,520,0.0,1.0,1,429000
23 East 10th Street #306,10003,600,0.0,1.0,1,495000
77 Bleecker Street #320,10012,1147,1.0,2.0,1,950000
77 Bleecker Street #606,10012,600,0.0,1.0,1,497000
77 Bleecker Street #604,10012,1000,1.0,1.0,1,829000
12 East 14th Street #3B,10003,1200,2.0,1.0,1,995000
49 East 12th Street #2A,10003,750,1.0,1.0,1,623000
49 East 12th Street #3E,10003,600,1.0,1.0,1,499000
718 Broadway #4C,10003,1310,0.0,1.0,1,1090000
77 Bleecker Street #924,10012,750,1.0,1.0,1,625000
35 East 10th Street #6F,10003,450,,1.0,1,375000
211 Thompson Street #3K,10012,450,0.0,1.0,1,375000
684 Broadway #5E,10012,3000,3.0,2.0,1,2500000
180 Thompson Street #4E,10012,420,0.0,1.0,1,350000
67 East 11th Street #219,10003,450,0.0,1.0,1,375000
211 Thompson Street #4M,10012,680,1.0,1.0,1,570000
77 Bleecker Street #619,10012,750,1.0,1.0,1,629000
55 East 11th Street #3,10003,2325,2.0,1.0,1,1950000
306 Elizabeth Street #TH1C,10012,1900,1.0,2.0,1,1595000
9 Minetta Street #20UNITS,10012,7128,20.0,1.0,1,5990000
54 East 11th Street #2FL,10003,2200,2.0,2.0,1,1850000
67 East 11th Street #409,10003,683,1.0,1.0,1,575000
180 Thompson Street #2A,10012,475,0.0,1.0,1,400000
77 Bleecker Street #321,10012,650,1.0,1.0,1,549000
211 Thompson Street #LB,10012,661,1.0,1.0,1,559000
77 Bleecker Street #813,10012,975,2.0,2.0,1,825000
77 Bleecker Street #222E,10012,650,0.0,1.0,1,550000
67 East 11th Street #524,10003,650,1.0,1.0,1,550000
77 Bleecker Street #206,10012,525,,1.0,1,445000
67 East 11th Street #502,10003,1000,1.0,1.0,1,850000
77 Bleecker Street #221,10012,675,1.0,1.0,1,575000
67 East 11th Street #719720,10003,1350,1.0,2.0,1,1150000
24 Fifth Avenue #1123,10011,750,1.0,1.0,1,639000
10 Bleecker Street #1A,10012,1700,1.0,1.0,1,1449000
50 East 10th Street ,10003,1050,1.0,1.0,1,895000
77 Bleecker Street #114,10012,850,1.0,1.0,1,725000
12 East 12th Street #9FL,10003,4532,3.0,2.0,1,4950000
1 Bond Street #2B,10012,1900,2.0,1.0,1,1625000
53 West 11th Street #4W,10011,700,1.0,1.0,1,599000
18 East 12th Street #6C,10003,1275,1.0,1.0,1,1095000
710 Broadway #7,10003,2500,2.0,2.0,1,2150000
67 East 11th Street #325,10003,650,1.0,1.0,1,559000
77 Bleecker Street #116N,10012,1800,2.0,2.0,1,1550000
24 Fifth Avenue #1122,10011,440,0.0,1.0,1,379000
18 East 12th Street ,10003,1275,1.0,1.0,1,1099000
77 Bleecker Street ,10012,750,1.0,1.0,1,650000
35 East 9th Street #50,10003,800,1.0,1.0,1,695000
77 Bleecker Street #332,10012,1000,1.0,2.0,1,869000
23 Waverly Place #3R,10003,500,1.0,1.0,1,435000
303 Mercer Street #A306,10003,775,1.0,1.0,1,675000
684 Broadway ,10012,3100,2.0,2.0,1,2700000
15 East 11th Street #3C,10003,400,0.0,1.0,1,349000
46 Great Jones Street #3-4,10012,4000,3.0,3.0,1,3490000
644 Broadway #5E,10012,3890,3.0,1.0,1,3395000
77 Bleecker Street #517,10012,800,1.0,1.0,1,699000
53 West 11th Street ,10011,600,1.0,1.0,1,525000
31 West 12th Street #1E,10011,1600,3.0,1.0,1,1400000
15 East 11th Street ,10003,650,1.0,1.0,1,569000
23 East 10th Street #704,10003,645,1.0,1.0,1,565000
439 Lafayette Street #4,10003,3800,0.0,2.0,1,3350000
125 West 12th Street #2F,10011,950,2.0,1.0,1,839000
125 West 12th Street #1F,10011,900,2.0,1.0,1,795000
77 Bleecker Street #415,10012,650,1.0,1.0,1,575000
39 East 12th Street #312,10003,650,1.0,1.0,1,575000
34 West 13th Street ,10011,1300,2.0,2.0,1,1150000
77 Bleecker Street #920,10012,790,0.0,1.0,1,699000
520 Laguardia Place #1S,10012,1440,3.0,2.0,1,1275000
39 East 12th Street #203,10003,700,1.0,1.0,1,620000
