title,addr_zip,size_sqft,bedrooms,bathrooms,prewar,price
157 Broome Street #2A,10002,600,1.0,1.0,1,279000
56 Ludlow Street #4,10002,1445,3.0,2.0,1,700000
157 Broome Street #4B,10002,600,1.0,1.0,1,295000
86 Clinton Street #1,10002,1918,2.0,2.0,1,949000
134 Eldridge #6,10002,700,1.0,1.0,1,350000
157 Broome Street #2C,10002,715,2.0,1.0,1,389000
504 Grand Street #E31,10002,800,1.0,1.0,1,419000
134 Eldridge Street #D,10002,700,2.0,0.0,1,375000
157 Broome Street #6A,10002,557,1.0,1.0,1,299000
504 Grand Street #B11,10002,1100,2.0,1.0,1,595000
86 Clinton #BUILDING,10002,8400,18.0,0.0,1,4600000
36 Attorney Street #2A,10002,580,1.0,1.0,1,320000
132 Eldridge Street #14-15,10002,1200,3.0,2.0,1,675000
504 Grand Street #E21,10002,750,1.0,1.0,1,425000
157 Broome Street #6A,10002,577,1.0,1.0,1,329000
504 Grand Street #B12,10002,750,1.0,1.0,1,435000
309 E.Houston Street #2A,10002,600,2.0,1.0,1,350000
118 Forsyth Street #1STFLR,10002,2200,3.0,1.0,1,1295000
504 Grand Street #F23,10002,1100,2.0,1.0,1,650000
55 Ludlow ,10002,9420,,1.0,1,5599000
504 Grand Street ,10002,750,1.0,1.0,1,479000
134 Eldridge Street #E,10002,600,2.0,1.0,1,385000
504 Grand Street #G4,10002,575,1.0,1.0,1,375000
Lower East Side ,10002,9540,,,1,6250000
177 Ludlow ,10002,9540,,0.0,1,6250000
153 1/2 Stanton Street #5R,10002,600,2.0,1.0,1,399000
170 Norfolk Street #4,10002,600,1.0,1.0,1,400000
134 Eldridge #F,10002,600,2.0,1.0,1,400000
118 Forsyth Street #2,10002,2300,2.0,2.0,1,1550000
178 Suffolk Street #1,10002,2730,3.0,2.0,1,1850000
504 Grand Street #D41,10002,750,1.0,1.0,1,515000
504 Grand Street #C54,10002,1050,2.0,1.0,1,740000
172 Delancey Street #5D,10002,600,0.0,1.0,1,425000
504 Grand Street #42,10002,1300,3.0,1.0,1,925000
134 Eldridge Street #,10002,600,2.0,1.0,1,427000
504 Grand Street #D61,10002,625,1.0,1.0,1,450000
172 Forsyth Street #3A,10002,520,1.0,1.0,1,375000
110 Forsyth Street #,10002,720,3.0,1.0,1,525000
170 Norfolk Street #8,10002,570,1.0,1.0,1,420000
118 Suffolk Street #4AB,10002,1200,3.0,1.0,1,895000
504 Grand Street #H63,10002,850,2.0,1.0,1,650000
75 Ludlow Street #2B,10002,1756,3.0,2.0,1,1350000
100 Suffolk Street #4C,10002,525,1.0,1.0,1,405000
178 Suffolk Street #5,10002,2200,2.5,2.0,1,1700000
309 E. Houston #4B,10002,575,2.0,1.0,1,451000
62 Orchard Street #4TH,10002,2400,3.0,2.0,1,1900000
62 Orchard Street #4,10002,2400,3.0,2.0,1,1900000
