title,addr_zip,size_sqft,bedrooms,bathrooms,prewar,price
476 Broadway #2F,10013,6564,3.0,2.0,1,3500000
105 Greene Street #804,10012,1100,2.0,2.0,1,627000
18 Mercer Street #1,10013,3500,3.0,1.0,1,1999000
105 Greene Street #805,10012,805,1.0,1.0,1,469000
100 Wooster Street #5,10012,3000,3.0,1.0,1,1800000
349 West Broadway ,10013,340,0.0,1.0,1,225000
284 Lafayette Street #2C,10012,3000,3.0,2.0,1,2000000
419 Broome Street #GROUND,10013,8694,0.0,2.0,1,5900000
515 Broadway #4B,10012,5000,0.0,2.0,1,3400000
515 Broadway #2B,10012,6046,3.0,4.0,1,4150000
105 Greene Street #1703,10012,560,0.0,1.0,1,394000
147 Sullivan Street #3B,10012,350,0.0,1.0,1,249500
456 Broome Street #2NDFLR,10013,2200,3.0,2.0,1,1590000
210 Sixth Avenue #6B,10014,550,0.0,1.0,1,399000
210 Sixth Avenue #4B,10014,550,0.0,1.0,1,399000
481 Greenwich Street #1B,10013,3263,3.0,2.0,1,2395000
481 Greenwich Street #2B,10013,3276,2.0,2.0,1,2400000
210 Sixth Avenue #4A,10014,750,1.0,1.0,1,549000
196 Sixth Avenue ,10012,1292,2.0,1.0,1,949000
543 Broadway #4,10012,2300,0.0,1.0,1,1700000
60 Grand Street #3RDFLOOR,10013,2250,2.0,1.0,1,1685000
114 Mercer Street #5THFLOOR,10012,2300,2.0,1.0,1,1725000
543 Broadway #4,10012,2300,0.0,1.0,1,1725000
114 Mercer Street ,10012,2250,2.0,2.0,1,1699999
543 Broadway ,10012,2500,1.0,1.0,1,1895000
210 Sixth Avenue #4C,10014,525,0.0,1.0,1,399000
149 Sullivan #3A,10012,650,1.0,1.0,1,499000
37 Crosby Street #5,10013,1200,1.0,1.0,1,925000
481 Greenwich Street #5C,10013,5069,1.0,1.0,1,3895000
426 Broome Street #1R,10013,1600,2.0,1.0,1,1250000
114 Mercer Street #2,10012,2250,2.0,2.0,1,1779000
210 Sixth Avenue #3B,10014,550,0.0,1.0,1,435000
284 Lafayette Street #4D,10012,3000,2.0,1.0,1,2375000
565 Broadway #3,10012,5000,3.0,2.0,1,3995000
84 Mercer Street #4FLR,10012,9427,3.0,3.0,1,7590000
515 Broadway #4A,10012,2600,2.0,1.0,1,2100000
464 West Broadway #4THFLR,10012,1600,0.0,2.0,1,1295000
515 Broadway #4B,10012,4507,1.0,2.0,1,3650000
150 Sullivan Street #11,10012,395,1.0,1.0,1,320000
150 Sullivan Street #37,10012,350,2.0,1.0,1,285000
12 Wooster Street #3FLOORS,10013,6700,2.0,3.0,1,5500000
468 West Broadway #4G3H,10012,4200,3.0,3.0,1,3450000
114 Mercer Street #6,10012,2300,1.0,1.0,1,1890000
16 Crosby Street #3RN,10013,2450,2.0,2.0,1,2025000
471 Broadway #4,10013,2171,2.0,2.0,1,1795000
307 West Broadway #3FL,10013,3200,1.0,1.0,1,2650000
561 Broadway #8B,10012,1800,0.0,1.0,1,1495000
131 Prince Street #6E,10012,1800,2.0,1.0,1,1495000
12 Wooster Street #5,10013,2400,2.0,1.0,1,1995000
22 Wooster Street #2C,10013,3000,2.0,2.0,1,2495000
16 Crosby Street #2RN,10013,2200,,2.0,1,1850000
210 Sixth Avenue #1H,10013,650,1.0,1.0,1,550000
210 Sixth Avenue #5G,10014,650,1.0,1.0,1,550000
64 MacDougal #15,10012,590,1.0,1.0,1,500000
114 Mercer Street #6FL,10012,2300,1.0,1.0,1,1950000
307 West Broadway #6FL,10013,3300,3.0,1.0,1,2800000
140 Thompson Street #1E,10012,1525,2.0,2.0,1,1295000
141 Wooster Street #3C,10012,1760,1.0,1.0,1,1495000
459 West Broadway #2N,10012,3000,2.0,2.0,1,2550000
468 West Broadway #4H,10012,1989,3.0,1.0,1,1695000
458 Broadway #5FL,10013,2600,2.0,1.0,1,2250000
60 Grand Street #6THFLOOR,10013,2187,3.0,2.0,1,1900000
16 Crosby Street #2F,10013,2700,3.0,2.0,1,2350000
35 Mercer Street #4E,10013,1650,,1.0,1,1450000
349 West Broadway #21,10013,340,0.0,1.0,1,299000
8 Greene Street #4,10013,1404,2.0,1.0,1,1500000
419 Broome Street #2FL,10013,4384,3.0,2.0,1,3900000
64 Grand Street #7,10013,1900,2.0,1.0,1,1695000
140 Thompson Street #6C,10012,2228,2.0,2.0,1,1995000
80 Wooster Street #3R,10012,2400,2.0,1.0,1,2150000
75 Grand Street #5E,10013,1600,3.0,1.0,1,1440000
210 Sixth Avenue #3A,10014,750,1.0,1.0,1,675000
210 Sixth Avenue #4D,10014,750,1.0,1.0,1,675000
514 Broadway #3H,10012,2100,1.0,1.0,1,1895000
542 Broadway #2R,10012,1550,1.0,2.0,1,1400000
114 Mercer Street #2,10012,2300,2.0,2.0,1,2095000
141 Sullivan Street #7,10012,450,0.0,1.0,1,410000
143 Sullivan Street #7,10012,400,0.0,1.0,1,365000
543 Broadway #9,10012,2300,3.0,1.0,1,2100000
50 Wooster Street #4NR,10013,2614,3.0,2.0,1,2395000
97 Crosby Street #4FL,10012,1300,3.0,1.0,1,1195000
510 Broadway #5F,10012,1950,2.0,1.0,1,1795000
145 Sixth Avenue #6C,10013,1600,0.0,1.0,1,1480000
487 Greenwich Street #4A,10013,3234,3.0,2.0,1,2995000
514 Broadway #5G,10012,1400,1.0,1.0,1,1299000
481 Greenwich Street ,10013,4645,,,1,4320000
64 MacDougal #15,10012,590,1.0,1.0,1,549000
451 Broome Street #PHW,10013,1800,,1.0,1,1675000
210 Sixth Avenue #3D,10014,750,1.0,1.0,1,699000
66 Crosby Street #4CD,10012,2300,2.0,2.0,1,2150000
514 Broadway #4H,10012,2130,2.0,1.0,1,1995000
140 Grand Street #3WF,10013,2000,0.0,1.0,1,1875000
41 Crosby Street #1R,10012,2452,1.0,1.0,1,2300000
428 Broome Street #1R,10012,2452,1.0,1.0,1,2300000
8 Greene Street ,10013,1404,1.0,1.0,1,1595000
143 Sullivan Street #6,10012,425,0.0,1.0,1,399000
8 Greene Street #6,10013,2430,0.0,1.0,1,1600000
478 West Broadway #2N2B,10012,1750,2.0,1.0,1,1650000
85 Mercer Street #3R,10012,2000,2.0,2.0,1,1895000
105 Thompson Street #20,10012,500,1.0,1.0,1,475000
16 Greene Street #2N,10013,2000,2.0,1.0,1,1900000
141 Wooster Street #3D,10012,1150,0.0,1.0,1,1095000
140 Thompson Street #4D,10012,1571,2.0,2.0,1,1500000
135 Greene Street #5N,10012,2775,2.0,2.0,1,2650000
27 Howard #1,10013,4000,1.0,2.0,1,4300000
11 Charlton Street #3C,10014,700,1.0,1.0,1,669000
143 Sullivan Street #G4,10012,344,0.0,1.0,1,329000
124 Thompson Street #19,10012,522,1.0,1.0,1,500000
481 Greenwich Street #3B,10013,3284,3.0,2.0,1,3150000
97 Crosby Street #1,10012,1400,0.0,1.0,1,1350000
500 Greenwich Street ,10013,4407,,1.0,1,4250000
464 West Broadway #2FL,10012,1500,2.0,2.0,1,1450000
Sophisticated Living ,10013,2264,2.0,2.0,1,2195000
80 Greene Street ,10012,3500,3.0,3.0,1,3400000
57 Thompson Street #2A,10012,400,1.0,1.0,1,390000
284 Lafayette Street #2B,10012,2400,2.0,2.0,1,2350000
284 Lafayette Street #2A,10012,2400,1.0,1.0,1,2350000
69 Wooster Street #5FL,10012,5000,3.0,3.0,1,4900000
71 Sullivan Street #3C,10012,400,0.0,1.0,1,395000
152 Wooster Street #2A,10013,2800,2.0,1.0,1,2785000
95 Greene #2B,10012,1200,1.0,1.0,1,1195000
150 Sullivan Street #34,10012,300,0.0,1.0,1,299000
66 Crosby Street ,10012,1700,2.0,1.0,1,1695000
