title,addr_zip,size_sqft,bedrooms,bathrooms,prewar,price
44 White Street ,10013,5600,,4.0,1,2250000
110 Duane Street #5R,10007,1746,2.0,1.0,1,720000
52 Lispenard Street ,10013,7500,5.0,2.0,1,3700000
110 Duane Street #4F,10007,1095,1.0,1.0,1,555000
142 Duane Street #CU,10013,9500,,1.0,1,4995000
70 Thomas Street #5FL,10013,2250,1.0,1.0,1,1200000
18 Jay Street ,10013,2100,,1.0,1,1200000
39 North Moore Street #1A,10013,1300,1.0,1.0,1,750000
68 Thomas Street #1,10013,3732,1.0,2.0,1,2200000
68 Thomas Street #1,10013,3732,0.0,1.0,1,2200000
1 Worth Street #4R,10013,1400,0.0,1.0,1,852000
53 Murray Street #LOFT,10007,5355,2.0,2.0,1,3250000
11 Worth Street #3A,10013,2375,0.0,1.0,1,1450000
11 Jay Street #1,10013,4100,0.0,2.0,1,2525000
356 Broadway #2A,10013,1417,2.0,2.0,1,895000
79 White Street #1E,10013,3112,3.0,4.0,1,3200000
366 Broadway #2B,10013,2060,2.0,2.0,1,1350000
138 Duane Street #3S,10013,1652,0.0,1.0,1,1100000
53 Murray Street #1,10007,5355,2.0,4.0,1,3595000
9 Murray Street #5SE,10007,2084,1.0,1.0,1,1400000
79 White Street #1E,10013,3112,4.0,4.0,1,3750000
86 Thomas #4,10013,2000,2.0,2.0,1,1395000
37 Walker Street #1,10013,2244,0.0,1.0,1,1570000
110 Duane Street #3,10007,4000,1.0,1.0,1,2800000
80 Chambers Street #8C,10007,1056,1.0,1.0,1,750000
157 Hudson Street #1D,10013,2859,2.0,2.0,1,2050000
7 Worth #GRNDFL,10013,2300,2.0,2.0,1,1650000
105 Hudson Street #400,10013,373,0.0,1.0,1,268560
356 Broadway #2CD,10013,3275,4.0,2.0,1,2385000
14 Jay Street #3,10013,1700,2.0,2.0,1,1250000
78 Leonard Street #4GX,10013,1286,2.0,2.0,1,950000
110 Duane Street #3R,10007,1886,2.0,1.0,1,1395000
52 Warren Street #4,10007,2181,2.0,2.0,1,1625000
428 Greenwich Street ,10013,8065,,,1,5000000
111 Hudson Street #5FL,10013,4002,3.0,4.0,1,3000000
80 Chambers Street #8C,10007,1056,1.0,1.0,1,795000
39 White Street #4FL,10013,1925,,1.0,1,1450000
78 Leonard Street #3GX,10013,1286,2.0,2.0,1,970000
55 Warren Street ,10007,22000,,,1,16700000
80 Warren Street #32,10007,2100,1.0,1.0,1,1595000
134 Duane Street #3S,10013,1300,0.0,1.0,1,995000
119 Chambers Street #1,10007,2864,3.0,2.0,1,2195000
1 Worth Street #4F,10013,1500,2.0,1.0,1,1150000
80 Warren Street #15,10007,3000,,3.0,1,2300000
105 Hudson Street #400-401,10013,918,0.0,1.0,1,704560
79 Laight Street #1D,10013,1944,2.0,2.0,1,1495000
145 Chambers Street #3,10007,1655,2.0,2.0,1,1290000
14 Harrison #3FL,10013,3200,2.0,2.0,1,2495000
80 Chambers Street #11E,10007,1085,1.0,1.0,1,850000
80 Leonard Street #2AX,10013,1896,3.0,2.0,1,1495000
126 Chambers Street #4,10007,1500,2.0,1.0,1,1199000
105 Hudson Street #401,10013,545,0.0,0.0,1,436000
80 Leonard Street #5BX,10013,1615,2.0,2.0,1,1295000
79 Worth Street #1RX,10013,2431,2.0,2.0,1,1950000
18 Leonard Street #1A,10013,3723,3.0,3.0,1,2995000
80 Leonard Street #5DX,10013,1394,1.0,1.0,1,1125000
79 Laight Street #6E,10013,3991,3.0,3.0,1,3100000
58 Walker Street #1,10013,3655,3.0,4.0,1,2950000
25 Murray Street #2J,10007,1548,3.0,3.0,1,1250000
145 Hudson Street ,10013,5198,,3.0,1,4200000
78 Leonard Street #5EX,10013,1265,1.0,1.0,1,1025000
78 Leonard Street #4EX,10013,1556,2.0,2.0,1,1265000
20-26 North Moore Street #5W,10013,2700,3.0,1.0,1,2200000
288 West Street #3E,10013,2200,3.0,1.0,1,1795000
138 Duane Street #3S,10013,1652,2.0,2.0,1,1350000
80 Chambers Street #14C,10007,1056,1.0,1.0,1,864000
77 White Street #3,10013,2255,,1.0,1,1850000
11 Jay Street ,10013,1700,2.0,2.0,1,1395000
1 Worth Street #6R,10013,1400,1.0,1.0,1,1150000
177 Franklin Street ,10013,12100,,,1,10250000
47 Vestry Street #1S,10013,2400,2.0,2.0,1,1985000
80 Chambers Street #10E,10007,1085,1.0,1.0,1,899000
80 Chambers Street #15B,10007,1056,1.0,1.0,1,875000
80 Chambers Street #13B,10007,1056,1.0,1.0,1,875000
78 Leonard Street #5GX,10013,632,0.0,1.0,1,525000
77 White Street #4,10013,2255,,1.0,1,1875000
171 Duane Street #1,10013,3000,3.0,2.0,1,2495000
171 Duane Street #1,10013,3000,3.0,2.0,1,2495000
171 Duane Street #1,10013,3000,3.0,2.0,1,2495000
78 Leonard Street #3EX,10013,1555,2.0,2.0,1,1295000
141 Reade Street #C,10013,3050,1.0,2.0,1,2550000
79 Laight Street #1C,10013,2011,2.0,2.0,1,1700000
92 Chambers Street #2,10007,1610,3.0,2.0,1,1350000
17 White Street ,10013,4100,,,1,3450000
449 Washington Street ,10013,8200,4.0,4.0,1,6900000
78 Leonard Street #5HX,10013,1419,2.0,2.0,1,1195000
80 Leonard Street #5AX,10013,1213,1.0,1.0,1,1025000
11 Vestry Street #LL,10013,1885,0.0,1.0,1,1595000
366 Broadway #8D,10013,2827,4.0,2.0,1,2395000
52 Warren Street #4,10007,2181,2.0,2.0,1,1850000
141 Reade Street #C,10013,3180,1.0,2.0,1,2550000
79 Worth Street #2RX,10013,1909,2.0,2.0,1,1625000
137 Duane Street #APT3A,10013,5498,3.0,4.0,1,4700000
25 Murray Street #4C,10007,1911,1.0,2.0,1,1645000
34-36 N Moore #6W,10013,1800,3.0,2.0,1,1550000
56 Warren Street ,10007,2200,2.0,2.0,1,1895000
105 Reade Street #LOFTS,10013,16822,5.0,4.0,1,14500000
8 Thomas Street #1FL,10007,2902,2.0,1.0,1,1675000
53 Leonard #1E,10013,2686,2.0,2.0,1,2485000
39 Worth Street #5W,10013,2250,3.0,2.0,1,1950000
155 Hudson Street #2S,10013,2353,2.0,1.0,1,1995000
47 Vestry Street ,10013,2300,0.0,2.0,1,1995000
155 Hudson Street #23S,10013,4600,4.0,3.0,1,3990000
13 Jay Street #1,10013,2960,1.0,1.0,1,2577000
25 Murray Street #6C,10007,1911,2.0,2.0,1,1665000
47 Walker Street #2B,10013,1830,2.0,1.0,1,1595000
137 Duane Street #2C,10013,2287,2.0,2.0,1,1995000
137 Duane Street #2C,10013,2287,2.0,2.0,1,1995000
79 Laight Street #1A,10013,2973,3.0,2.0,1,2595000
25 Murray #3A,10007,1557,2.0,2.0,1,1360000
145 Duane Street #2NDFL,10013,1400,1.0,1.0,1,1225000
395 Broadway #15A,10013,1163,0.0,1.0,1,1050000
356 Broadway #2B,10013,1680,2.0,2.0,1,1495000
137 Duane Street #4E,10013,1733,1.0,1.0,1,1525000
58 White Street ,10013,1685,2.0,2.0,1,2200000
195 Hudson Street ,10013,2460,2.0,3.0,1,2995000
10 Jay Street #5C,10013,1332,2.0,2.0,1,1175000
39 Worth Street #5E,10013,2550,3.0,2.0,1,2250000
184 Franklin Street #3,10013,1200,1.0,2.0,1,1060000
47 Walker Street #3A,10013,1350,2.0,1.0,1,1195000
49 Warren Street #1W,10007,4500,0.0,4.0,1,3995000
25 N Moore #2A,10013,2800,1.0,2.0,1,2495000
137 Duane Street #03A,10013,5498,3.0,3.0,1,4900000
258 Broadway #7E,10007,1900,3.0,2.0,1,1695000
64 N Moore Street ,10013,1900,2.0,2.0,1,1695000
261 Broadway #6C,10007,985,1.0,1.0,1,880000
111 Hudson Street #PH,10013,5000,2.0,2.0,1,4475000
165 Hudson Street #2B,10013,1200,2.0,1.0,1,1075000
25 Murray Street #4A,10007,1557,2.0,2.0,1,1395000
80 Leonard Street #5CX,10013,1780,2.0,2.0,1,1595000
270 Broadway #16C,10007,1998,2.0,2.0,1,1795000
270 Broadway #17B,10007,2554,3.0,3.0,1,2295000
80 Chambers Street #15E,10013,1085,2.0,1.0,1,975000
258 Broadway #8D,10007,1000,0.0,1.0,1,899000
56 Warren Street #5W,10007,1500,2.0,2.0,1,1350000
261 Broadway #4A,10007,754,1.0,1.0,1,680000
56 Thomas Street #1,10013,1761,1.0,2.0,1,1595000
459 Washington Street #3N,10013,1950,2.0,2.0,1,1995000
79 Laight Street #1A,10013,2973,3.0,2.0,1,2699000
25 Murray Street #4H,10007,1806,2.0,2.0,1,1640000
80 Chambers Street #12E,10013,1085,1.0,1.0,1,989000
80 Chambers Street #15D,10007,1640,2.0,2.0,1,1495000
270 Broadway ,10007,8117,4.0,5.0,1,7400000
250 West Street #3L,10013,1636,1.0,2.0,1,1495000
466 Washington Street #3W,10013,3500,4.0,2.0,1,3200000
25 Murray Street #3F,10007,1558,2.0,2.0,1,1425000
129 Duane Street #4T,10013,2350,1.0,2.0,1,2150000
25 Murray Street #2A,10007,1557,2.0,2.0,1,1425000
144-146 Franklin Street ,10013,3000,3.0,2.0,1,2750000
Murray Street #2FL,10007,1850,3.0,2.0,1,1700000
80 Chambers Street #10F,10007,3525,3.0,3.0,1,3250000
80 Chambers Street #13F,10007,3525,3.0,3.0,1,3252000
80 Chambers Street #13C,10007,1056,1.0,1.0,1,975000
80 Chambers Street #10B,10007,1056,1.0,1.0,1,975000
80 Chambers Street #15F,10007,3241,3.0,3.0,1,2995000
80 Chambers Street #15F,10007,3241,3.0,3.0,1,2995000
53 Murray Street #1,10007,5355,3.0,3.0,1,4950000
77 Hudson Street #2510,10013,1243,2.0,2.0,1,1149000
55 White Street #2C,10013,1869,2.0,2.0,1,1850000
71 Warren Street #1 ,10007,3400,3.0,2.0,1,3150000
79 Worth Street #3FX,10013,1829,2.0,2.0,1,1695000
108 Reade Street #2W,10013,2400,5.0,3.0,1,1950000
105 Hudson Street ,10013,156,0.0,,1,145000
335 Greenwich Street #2B,10013,1818,3.0,2.0,1,1695000
157 Duane Street #4,10013,1700,1.0,1.0,1,1585000
9 Murray Street #6SW,10007,1875,3.0,2.0,1,1750000
74 Reade Street #3W,10007,1500,2.0,2.0,1,1400000
258 Broadway #4F,10007,1520,2.0,2.0,1,1425000
157 Duane Street #2,10013,1700,2.0,2.0,1,1595000
25 Murray #5A,10007,1557,2.0,2.0,1,1465000
80 Chambers Street #11B,10007,1056,1.0,1.0,1,995000
79 Worth Street #5RXPH,10013,2069,2.0,2.0,1,1950000
80 Leonard Street #4CX,10013,1856,2.0,2.0,1,1750000
250 West Street #5L,10013,1636,1.0,2.0,1,1545000
250 West Street #4L,10013,1636,1.0,2.0,1,1545000
90 Hudson Street #3B,10013,990,,1.0,1,935000
261 Broadway #11E,10007,1265,2.0,1.0,1,1195000
80 Chambers Street #10E,10013,1085,1.0,1.0,1,1025000
80 Chambers Street #11C,10007,1056,1.0,1.0,1,999000
25 Murray Street #6F,10007,1558,2.0,2.0,1,1475000
459 Washington Street #3S,10013,2097,2.0,2.0,1,1995000
150 Franklin Street #5,10013,3000,3.0,2.0,1,2850000
88 Chambers #3,10007,1595,2.0,2.0,1,1515250
25 Murray Street #2D,10007,1417,2.0,3.0,1,1350000
34 Laight Street #2,10013,2200,2.0,1.0,1,2100000
474 Greenwich Street #5N,10013,1100,1.0,1.0,1,1050000
366 Broadway #10C,10013,2086,3.0,1.0,1,1995000
80 Chambers Street #15F,10007,3241,3.0,3.0,1,3100000
88 Chambers Street #15F,10007,3241,3.0,3.0,1,3100000
79 Worth Street #2FX,10013,1829,2.0,2.0,1,1750000
184 Franklin Street #2,10013,1200,1.0,2.0,1,1149000
157 Hudson Street #1B,10013,1947,2.0,3.0,1,1865000
148 Chambers Street #2,10007,1618,2.0,2.0,1,1550000
47 Vestry Street #1S,10013,2400,2.0,2.0,1,2300000
47 Vestry Street #1S,10013,2400,2.0,2.0,1,2300000
165 Duane Street #2B,10013,1350,1.0,1.0,1,1295000
261 Broadway #7C,10007,885,1.0,1.0,1,849000
44 Lispenard Street ,10013,1527,2.0,2.0,1,1795000
25 Murray #3K,10007,1395,1.0,2.0,1,1340000
