title,addr_zip,size_sqft,bedrooms,bathrooms,prewar,price
13 Downing Street #8,10014,600,1.0,1.0,1,350000
377 West 11th Street #1B,10014,2400,0.0,2.0,1,1600000
238 West 14th Street #238,10011,10671,11.0,11.0,1,7500000
204 West Houston Street #1C,10014,1400,2.0,2.0,1,999000
720 Greenwich Street #3E,10014,700,0.0,1.0,1,500000
204 West Houston #1B,10014,620,,1.0,1,459000
204 West Houston #1A,10014,1250,1.0,1.0,1,950000
84 Horatio Street #1D,10014,450,0.0,1.0,1,349000
377 West 11th Street ,10014,3200,3.0,2.0,1,2495000
9 Barrow Street #2G,10014,550,0.0,1.0,1,435000
200 West Houston Street #34B,10014,1815,2.0,2.0,1,1495000
204 West Houston Street #2C,10014,800,1.0,1.0,1,659000
61 Horatio Street #3D,10014,575,1.0,1.0,1,475000
227 West 11th Street #2,10014,675,1.0,1.0,1,559000
111 Barrow Street #8D,10014,1200,0.0,1.0,1,998500
99 Bank Street #6G,10014,900,1.0,1.0,1,749000
84 Charles Street #19,10014,750,2.0,1.0,1,625000
75 Bank Street #5C,10014,550,,1.0,1,460000
22 Leroy Street #22,10014,775,2.0,1.0,1,649000
720 Greenwich Street #3L,10014,450,0.0,1.0,1,379000
281 West 11th Street #45C,10014,1000,2.0,1.0,1,849000
68 Jane Street #2,10014,2000,3.0,3.0,1,1700000
36 Bethune Street ,10014,500,1.0,1.0,1,425000
15 Jones Street #1E,10014,915,2.0,1.0,1,779000
200 West Houston #34B,10014,1815,2.0,2.0,1,1550000
22 Cornelia #15,10014,350,0.0,1.0,1,299000
131 Perry Street #4B,10014,1450,1.0,1.0,1,1250000
53 Downing Street ,10014,6890,,0.0,1,5950000
720 Greenwich Street #2M,10014,480,0.0,1.0,1,415000
64 Barrow Street #2,10014,750,1.0,1.0,1,649000
45 Perry Street #18,10014,550,1.0,1.0,1,480000
53 Horatio Street #1,10014,750,1.5,1.0,1,655000
135 Perry Street #12,10014,430,0.0,1.0,1,378000
260 West 10th Street #5E,10014,906,1.0,1.0,1,799000
78 Charles Street #1W,10014,850,1.0,2.0,1,750000
130 Barrow Street #213,10014,1015,1.0,1.0,1,899000
720 Greenwich Street #4M,10014,450,,1.0,1,399000
41 Jane Street #1C,10014,600,1.0,1.0,1,535000
53 Horatio Street #1,10014,700,1.0,1.0,1,629000
64 Barrow Street #5,10014,750,1.0,1.0,1,675000
99 Bank Street #7P,10014,500,0.0,1.0,1,450000
323 West 11th Street #4W,10014,720,1.0,1.0,1,649000
323 West 11th Street #4WL,10014,720,0.0,1.0,1,649000
8 Bethune Street #2,10014,675,2.0,1.0,1,609000
256 West 10th Street #1B,10014,1100,1.0,1.0,1,999000
111 Barrow Street #5B,10014,1100,1.0,1.0,1,999000
92 Horatio Street #3M,10014,450,0.0,1.0,1,409000
92 Horatio Street #3D,10014,330,0.0,1.0,1,300000
92 Horatio Street #3D,10014,330,0.0,1.0,1,300000
43 Clarkson Street #PHR,10014,5500,4.0,4.0,1,5000000
295 West 11th Street #1JKL,10014,1450,2.0,3.0,1,1325000
